reciter_name,file_path,duration_s,spectral_centroid,avg_pitch,mfccs,chunk_id
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_207.wav,2.5,781.3960611371774,668.0512,"[-251.52544    236.43234     17.117867     4.023563     8.452341
   25.597572     4.770357     5.5107713    2.6358094  -19.22133
   -1.9808571    1.9258462   -4.1273084]",207
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_204.wav,2.5,950.1754219598716,783.4568,"[-221.94675    220.82773      9.017719     2.2040062    7.95518
   32.674255     6.125877     5.195523    10.378607   -22.1992
  -11.660018     4.1431823    1.0498782]",204
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_213.wav,2.5,906.323376560836,849.93604,"[-245.28973    232.22041     18.541721   -17.858253     0.6962292
   12.408478     9.592869    11.956767     1.6597971  -23.625603
  -10.27769      5.9959145    5.5464067]",213
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_092.wav,2.5,3222.6422434160218,1713.3671,"[-211.26154    161.78029    -94.910286    27.983763   -41.72413
   16.837198   -16.996933   -34.069656     8.814231   -23.079195
    3.2148604    2.8112729   -8.953978 ]",92
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_017.wav,2.5,3345.5522388442064,1135.4755,"[-222.02533    147.9857     -10.300655    36.40861    -56.031094
   39.287403   -56.94962     -0.5588701   17.099619   -18.842648
  -12.551169    -5.0382385    2.6691573]",17
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_170.wav,2.5,1375.4508487900353,744.425,"[-216.50812    207.96303    -19.483099    33.817284   -10.1915455
   25.768053    -6.181311     6.780421     9.961383     3.7408273
   -1.0836828   -3.3660924    1.2301263]",170
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_183.wav,2.5,907.5505036775448,804.506,"[-250.12737    231.99144      1.2135314   -2.3211758    4.9293666
   27.588308    13.566719     3.3914633    5.7298784  -18.449919
  -10.890106    -2.6883256   -4.5820646]",183
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_179.wav,2.5,1123.2291266495727,782.08,"[-2.3972890e+02  2.1294078e+02  3.0666006e+00  9.0380507e+00
 -2.7818975e+00  2.4819901e+01  3.6197307e+00  3.0000155e+00
  6.6754770e+00 -8.8328848e+00 -8.7254141e-03  3.6275098e+00
  1.4438343e+00]",179
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_077.wav,2.5,3160.3449015089996,1604.8451,"[-259.05988    183.43326    -91.56677     39.87713    -48.338886
   21.511543    -7.7848024  -34.5312      14.89981    -25.017769
   -5.846323    -0.6157498   -6.921587 ]",77
Mohammed_Aluhaidan,Dataset/Mohammed_Aluhaidan/lohaidan_256.wav,2.5,730.1712265810746,485.3142,"[-346.90036     206.24625      22.52148      24.422295     24.37283
   39.77651       4.368739     -0.9844629    17.870607     -5.8498
   -7.6967        1.4722785    -0.50830674]",256
